time,measurement1,measurement2,measurement3
05/01/2020,0.86,1,0.764493687
19/01/2020,0.66,0.998249453,0.967791806
24/01/2020,0.74,1.094091904,0.577170832
29/01/2020,0.72,1.094967177,0.655501159
05/02/2020,0.96,0.99059081,0.585931461
10/02/2020,1.02,0.954485777,0.656016491
17/02/2020,0.79,0.85536105,0.658335481
22/02/2020,1,0.659080963,0.732285493
05/03/2020,1,0.751859956,0.388044318
12/03/2020,0.8,0.454266958,0.721721206
17/03/2020,1.04,0.518161926,0.890234476
29/03/2020,0.8,0.448577681,0.84308168
31/03/2020,0.77,0.524726477,0.795413553
05/04/2020,0.77,0.467833698,1.068539036
17/04/2020,0.74,,1.335222881
28/04/2020,0.66,,1.32079361
29/04/2020,0.66,,1.322339603
07/05/2020,0.71,,1.070858026
21/05/2020,1.01,,0.911105385
04/06/2020,0.69,,1.099458902
18/06/2020,0.96,,1.030404535
02/07/2020,0.9,,0.895903118
07/07/2020,0.76,,1.076269003
30/07/2020,0.82,,1.119556815
13/08/2020,0.76,,1.271321824
27/08/2020,1.11,,0.916637961
10/09/2020,0.99,,0.604891492
08/10/2020,1.25,,0.506028247
05/11/2020,0.8,,0.528763348
03/12/2020,0.76,,0.581467447
31/12/2020,0.82,,1.059249053
28/01/2021,0.61,,0.863878746
11/02/2021,,,0.78886669
11/03/2021,,,0.702941784
08/04/2021,,,0.797189115
27/04/2021,,,0.974509128
06/05/2021,,,0.981054082
